,Status,Close Date,Close Price,Property_ID,New Construction Type,MLS Number,List Agent Full Name,List Agent MLSID,List Office Name,Property Address
300,Closed,9/30/2020,487468.0,NA,To Be Built,170154226,Kathy Palagonia,PALAGONK,Thomas Jacovino,28 Tamarack Court 276 Prospect Connecticut 06712
301,Closed,9/30/2020,432561.0,NA,Under Construction,170274480,Andrea Bannerman,20635,Thomas Jacovino,151 Brentwood Circle 21 Danbury Connecticut 06810
302,Closed,9/30/2020,417250.0,NA,Under Construction,170304662,Laura Spinelli,SPINELLL,"Laurel Crest Realty, LLC",Lot 2 Great Pyrenees Way  Bristol Connecticut 06010
303,Closed,9/29/2020,1700.0,NA,Completed/Never Occupied,170324048,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  15 Southington Connecticut 06479
304,Closed,9/29/2020,675000.0,NA,Under Construction,170330390,Paul Jacques,JACQUESP,Jacques Realty,67 Jonathan(Lot 21) Trail  Glastonbury Connecticut 06033
305,Closed,9/28/2020,395000.0,NA,To Be Built,170268986,Alfred D Serrao,SERRAOA,Pulte Realty of Connecticut In,1059 Augusta Drive  5822 Oxford Connecticut 06478
306,Closed,9/28/2020,457923.0,NA,Under Construction,170281593,Andrea Bannerman,20635,Thomas Jacovino,149 Brentwood Circle 22 Danbury Connecticut 06810
307,Closed,9/25/2020,604070.0,NA,To Be Built,170179453,Bryan Feery,FEERYB,Berkshire Hathaway NE Prop.,105 Broad Meadow Rd.   Colchester Connecticut 06415
308,Closed,9/25/2020,522119.0,NA,To Be Built,170227279,Renee Havriliak,HAVRILIAKR,Evjen Agency,352 Patton Drive   Cheshire Connecticut 06410
309,Closed,9/25/2020,295955.0,NA,Under Construction,170247251,Doug Blackwood,BLACKWOD,Calcagni Real Estate,19 Beecher Walk 28 Orange Connecticut 06477
310,Closed,9/25/2020,339000.0,NA,Under Construction,170266799,Sue Kopec-jutcawitz,10636,Coldwell Banker Realty,28 Rowland Farm Road  Oxford Connecticut 06478
311,Closed,9/25/2020,556550.0,NA,To Be Built,170281361,Sally A Bowman,BOWMANSA,Berkshire Hathaway NE Prop.,Lot 2 Cornwall Avenue  Cheshire Connecticut 06410
312,Closed,9/25/2020,381545.0,NA,Under Construction,170283347,Edite Calabrese,CALABRED,"ICON Realty, LLC",375 Hunters Drive  Litchfield Connecticut 06759
313,Closed,9/25/2020,386150.0,NA,Under Construction,170285028,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 4 Bethel Connecticut 06801
314,Closed,9/25/2020,540000.0,NA,Under Construction,170306742,John R Lepore,LEPOREJ,Berkshire Hathaway NE Prop.,3 Anthonys Way  Bloomfield Connecticut 06002
315,Closed,9/24/2020,250000.0,NA,To Be Built,170195716,Robin L Keator,EKEATORR,"RANDALL, REALTORS-Christie's",lot 38-3 south Street  Brooklyn Connecticut 06234
316,Closed,9/24/2020,439995.0,NA,Completed/Never Occupied,170279192,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,96 Ridgewood Drive Drive 112 Middlebury Connecticut 06762
317,Closed,9/24/2020,295000.0,NA,Completed/Never Occupied,170313564,Mark H Mooney,MOONEYMH,"Mooney Real Estate, LLC",759 George Washington Turnpike  B Burlington Connecticut 06013
318,Closed,9/23/2020,414609.0,NA,To Be Built,170154232,Kathy Palagonia,PALAGONK,Thomas Jacovino,26 Tamarack Court Court 275 Prospect Connecticut 06712
319,Closed,9/23/2020,237775.0,NA,Under Construction,170278303,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,39 Eden Avenue 39-2 Southington Connecticut 06489
320,Closed,9/22/2020,1240000.0,NA,Under Construction,170268355,Kim Harizman,18778,"Compass Connecticut, LLC",3 Daybreak Commons  Westport Connecticut 06880
321,Closed,9/22/2020,1600.0,NA,Completed/Never Occupied,170272631,Leonard Gordon,7011,Taylor Gordon & Company,1187 Iranistan Avenue  Bridgeport Connecticut 06605
322,Closed,9/21/2020,502748.0,NA,To Be Built,170251430,Wendy L. O'Donnell,ODONNELW,EG Group Realty,19 Park Avenue  Stonington Connecticut 06355
323,Closed,9/21/2020,399900.0,NA,Under Construction,170292082,Karen Hotchkiss,HOTCHKIK,Karen Hotchkiss,105 Crystal Falls Way  Berlin Connecticut 06037
324,Closed,9/18/2020,416037.0,NA,To Be Built,170182034,Meredith Colasanto,COLASANM,Thomas Jacovino,136 RIDGEWOOD Drive 197 Middlebury Connecticut 06762
325,Closed,9/18/2020,239900.0,NA,To Be Built,170269004,Cindy Schienda,PANASCCI,"Showcase Realty, Inc.",44 Eustis Street  B Watertown Connecticut 06779
326,Closed,9/18/2020,359000.0,NA,Under Construction,170316038,Sue Kopec-Jutcawitz,10636,Coldwell Banker Realty,31 Rowland Farm Road  Oxford Connecticut 06478
327,Closed,9/18/2020,255900.0,NA,Under Construction,170325446,Cheryl Alaimo,ALAIMOCH,Coldwell Banker Realty,39 Spier Avenue  Enfield Connecticut 06082
328,Closed,9/17/2020,419400.0,NA,To Be Built,170074847,Steven Lepore,LEPORES,"West Wind Realty, LLC",Lot 4 Evergreen Crossing  New Hartford Connecticut 06057
329,Closed,9/17/2020,456546.0,NA,To Be Built,170236148,Lori Gabriel,GABRIELL,Coldwell Banker Realty,305 East Road Lot 18 East Windsor Connecticut 06016
330,Closed,9/17/2020,824500.0,NA,Under Construction,170243721,Tim M Dent,JDENT,Coldwell Banker Realty,210 High Ridge   Ridgefield Connecticut 06877
331,Closed,9/17/2020,460004.0,NA,To Be Built,170262275,Tony Salerno,JASAL1,RE/MAX Heritage,Lot 1 Jefferson Street  Shelton Connecticut 06484
332,Closed,9/17/2020,395000.0,NA,To Be Built,170282098,William T Hulk,HULKW,McCorrison DW Fish Real Estate,51 Carrige Drive  Hebron Connecticut 06248
333,Closed,9/16/2020,1300.0,NA,Completed/Never Occupied,170172556,Carrie Vass,VASSCA,Calcagni Real Estate,53 Parker Street S1 - Building E Wallingford Connecticut 06492
334,Closed,9/16/2020,1550.0,NA,Under Construction,170174862,Carrie Vass,VASSCA,Calcagni Real Estate,"53 Parker Street A1, A2, A3 - Building Wallingford Connecticut 06492"
335,Closed,9/16/2020,1650.0,NA,Under Construction,170174894,Carrie Vass,VASSCA,Calcagni Real Estate,53 Parker Street A4 - Building E Wallingford Connecticut 06492
336,Closed,9/16/2020,1750.0,NA,Under Construction,170175365,Carrie Vass,VASSCA,Calcagni Real Estate,53 Parker Street A5 - Building E Wallingford Connecticut 06492
337,Closed,9/16/2020,1800.0,NA,Completed/Never Occupied,170187775,Carrie Vass,VASSCA,Calcagni Real Estate,"53 Parker Street A6, Building E Wallingford Connecticut 06492"
338,Closed,9/16/2020,2200.0,NA,Completed/Never Occupied,170266432,Carrie Vass,VASSCA,Calcagni Real Estate,"53 Parker Street B1, Building F Wallingford Connecticut 06492"
339,Closed,9/15/2020,608406.0,NA,To Be Built,170136228,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,5 Farm Hill Road- Homesite 1 Drive  South Windsor Connecticut 06074
340,Closed,9/15/2020,270200.0,NA,Under Construction,170247292,Doug Blackwood,BLACKWOD,Calcagni Real Estate,71 Beecher Walk 2 Orange Connecticut 06477
341,Closed,9/15/2020,389400.0,NA,Under Construction,170284988,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 11 Bethel Connecticut 06801
342,Closed,9/15/2020,453650.0,NA,Under Construction,170306427,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",18 Teakwood Dr   Southington Connecticut 06489
343,Closed,9/15/2020,2900.0,NA,Completed/Never Occupied,170320738,Aida M Pedroza,22103,William Pitt Sotheby's Int'l,850 Pacific Street 1057 Stamford Connecticut 06902
344,Closed,9/15/2020,4490.0,NA,Completed/Never Occupied,170320831,Aida M Pedroza,22103,William Pitt Sotheby's Int'l,850 Pacific Street 1401 Stamford Connecticut 06902
345,Closed,9/15/2020,1745.0,NA,Completed/Never Occupied,170323849,Melanie Healey,JHEALE1,NewBridge Properties,47 Westwood Drive 47 Stamford Connecticut 06902
346,Closed,9/14/2020,339000.0,NA,Under Construction,170269320,Sue Kopec-jutcawitz,10636,Coldwell Banker Realty,30 Rowland Farm Road  Oxford Connecticut 06478
347,Closed,9/14/2020,492309.0,NA,To Be Built,170275858,Sally Smirnoff,SMIRNOSA,Calcagni Real Estate,"53 Hillcrest Village, Lot 53   Southington Connecticut 06489"
348,Closed,9/14/2020,511532.0,NA,Under Construction,170326835,Wendy L. O'Donnell,ODONNELW,EG Group Realty,20 Park Avenue  Stonington Connecticut 06355
349,Closed,9/13/2020,2465.0,NA,Completed/Never Occupied,170326756,Melanie Healey,JHEALE1,NewBridge Properties,70 Merrell Avenue 70 Stamford Connecticut 06902
350,Closed,9/11/2020,420000.0,NA,To Be Built,170229752,Joe Chemero,JCH01,Coldwell Banker Realty,247 Chestnut land Road  New Milford Connecticut 06776
351,Closed,9/11/2020,219000.0,NA,Completed/Never Occupied,170264325,Yasmina Delacruz-Bailey,21391,Century 21 Scala Group,850 Seaview Avenue 3 Bridgeport Connecticut 06607
352,Closed,9/11/2020,237400.0,NA,To Be Built,170268971,Cindy Schienda,PANASCCI,"Showcase Realty, Inc.",44 Eustis Street  A Watertown Connecticut 06779
353,Closed,9/11/2020,431730.0,NA,To Be Built,170277328,Anita Pavone,A2014,Real Estate Two,Lot#4 Cold Spring Drive  Oxford Connecticut 06478
354,Closed,9/11/2020,380000.0,NA,To Be Built,170279911,Joe Chemero,JCH01,Coldwell Banker Realty,245 Chestnut land Road  New Milford Connecticut 06776
355,Closed,9/11/2020,410000.0,NA,Under Construction,170287799,Lori A Vogel,VOGELL,William Raveis Real Estate,5 Park Road Extension   Haddam Connecticut 06438
356,Closed,9/11/2020,2100000.0,NA,Completed/Never Occupied,170308430,Anthony Longo II ,22074,William Raveis Real Estate,73 Orchard Place B Greenwich Connecticut 06830
357,Closed,9/11/2020,419900.0,NA,Completed/Never Occupied,170315308,Walter Nichols,NICHOLWA,Property World,59 Beach Shore Drive  Milford Connecticut 06460
358,Closed,9/10/2020,632385.0,NA,Under Construction,170286515,Wendy L. O'Donnell,ODONNELW,EG Group Realty,3 Park Avenue  Stonington Connecticut 06355
359,Closed,9/10/2020,489000.0,NA,Under Construction,170292139,Daniel Martin,6810,Higgins Group Real Estate,120 Buddington Road  Shelton Connecticut 06484
360,Closed,9/10/2020,365257.0,NA,To Be Built,170295381,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  14 Southington Connecticut 06489
361,Closed,9/10/2020,1750.0,NA,Completed/Never Occupied,170332245,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  46 Southington Connecticut 06479
362,Closed,9/9/2020,250000.0,NA,Under Construction,170272013,Dawn Cabral,cabralda,"West View Properties, LLC",4 Bradley Way  Thomaston Connecticut 06787
363,Closed,9/9/2020,3200.0,NA,Completed/Never Occupied,170284501,Stephen Guarrera,7830,Carey & Guarrera Real Estate,146 Wells View Road  Shelton Connecticut 06484
364,Closed,9/9/2020,789900.0,NA,Under Construction,170310600,Donna McNamara,MCNAMARAD,RMS Real Estate Group,159 Colonial Road 40 Stamford Connecticut 06906
365,Closed,9/9/2020,347900.0,NA,Completed/Never Occupied,170316355,Art Kostapapas,KOSTAPAA,"Weichert,REALTORS-Four Corners",97 Lake Woods Lane  Eastford Connecticut 06242
366,Closed,9/8/2020,1495000.0,NA,Under Construction,170241163,Carole Cousins,K1077,Coldwell Banker Realty,99 Barry Avenue Lot 4 Ridgefield Connecticut 06877
367,Closed,9/7/2020,1350.0,NA,Completed/Never Occupied,170292794,Mark J Glassman,GLASSMMA,Property World,504 Boston Post Road 202 Orange Connecticut 06477
368,Closed,9/4/2020,294900.0,NA,To Be Built,170084796,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,40 Village Crossing 40 East Lyme Connecticut 06357
369,Closed,9/4/2020,541000.0,NA,Completed/Never Occupied,170272568,Susan Bento,14101,CT Real Estate Solutions,264 Marlborough Terrace  Fairfield Connecticut 06825
370,Closed,9/4/2020,364900.0,NA,Under Construction,170284874,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 1 Bethel Connecticut 06801
371,Closed,9/3/2020,430545.0,NA,To Be Built,170154235,Kathy Palagonia,PALAGONK,Thomas Jacovino,24 Tamarack Court Court 274 Prospect Connecticut 06712
372,Closed,9/3/2020,379900.0,NA,Completed/Never Occupied,170280684,Alan D Williams,WILLIAMA,Williams Realty Services,19 North Court  Colchester Connecticut 06415
373,Closed,9/3/2020,425000.0,NA,Completed/Never Occupied,170312319,Walter Nichols,NICHOLWA,Property World,61 Beach Shore Drive  Milford Connecticut 06460
374,Closed,9/2/2020,309900.0,NA,To Be Built,170084820,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,42 Village Crossing 42 East Lyme Connecticut 06357
375,Closed,9/2/2020,425000.0,NA,To Be Built,170244959,Renee Havriliak,HAVRILIAKR,Evjen Agency,360 Patton Drive   Cheshire Connecticut 06410
376,Closed,9/2/2020,373900.0,NA,To Be Built,170249145,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Roads 12 Southington Connecticut 06489
377,Closed,9/2/2020,569995.0,NA,Under Construction,170261333,Andrea Bannerman,20635,Thomas Jacovino,82 Winding Ridge Way 96 Danbury Connecticut 06810
378,Closed,9/2/2020,359900.0,NA,Under Construction,170285131,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 10 Bethel Connecticut 06801
379,Closed,9/2/2020,1925.0,NA,Completed/Never Occupied,170302636,Tim Debowes,18139,"Hathaway, Inc.",3 Elmcrest Terrace M1 Norwalk Connecticut 06850
380,Closed,9/2/2020,1230.0,NA,Completed/Never Occupied,170325651,Sara J Ritchie,MOONEYS,Keller Williams Realty,201 Ann Street 306 Hartford Connecticut 06103
381,Closed,9/1/2020,479900.0,NA,To Be Built,170254229,Stacy M Blake,BLAKEST,Stacy Blake Realty LLC,25 Hunter Mountain Roads  Oxford Connecticut 06478
382,Closed,9/1/2020,542000.0,NA,Completed/Never Occupied,170262821,Walter Nichols,NICHOLWA,Property World,48 Beach Shore Dr.   Milford Connecticut 06460
383,Closed,8/31/2020,412000.0,NA,Under Construction,170048737,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,43 Shepard Way (#33)  33 South Windsor Connecticut 06074
384,Closed,8/31/2020,241100.0,NA,Under Construction,170178059,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,245 Pepin Place  110 South Windsor Connecticut 06074
385,Closed,8/31/2020,618409.0,NA,To Be Built,170201168,Suzanne B DeMarco,21546,Thomas Jacovino,31 Crossing Way 48 Bethel Connecticut 06801
386,Closed,8/31/2020,279900.0,NA,Under Construction,170245448,Dawn Cabral,cabralda,"West View Properties, LLC",37 Stevens Boulevard  Thomaston Connecticut 06787
387,Closed,8/31/2020,479331.0,NA,Under Construction,170272050,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,44 Carson Way   Simsbury Connecticut 06070
388,Closed,8/31/2020,415000.0,NA,Completed/Never Occupied,170289029,Craig Milton,MILTONC,REMAX Valley Shore Genovali RE,17 Economy Dr   Westbrook Connecticut 06498
389,Closed,8/31/2020,450000.0,NA,Completed/Never Occupied,170303729,Sandra Fehrs,FEHRSSAN,Calcagni Real Estate,88 Hillcrest Village; Lot 88   Southington Connecticut 06489
390,Closed,8/31/2020,299900.0,NA,Completed/Never Occupied,170311277,Mark H Mooney,MOONEYMH,"Mooney Real Estate, LLC",751 George Washington Turnpike  B Burlington Connecticut 06013
391,Closed,8/31/2020,2950.0,NA,Completed/Never Occupied,170327580,Stephen Zemo,k1134,Copps Hill Realty,62 Prospect Ridge  C4 Ridgefield Connecticut 06877
392,Closed,8/28/2020,342868.0,NA,To Be Built,170154236,Kathy Palagonia,PALAGONK,Thomas Jacovino,22 Tamarack Court 273 Prospect Connecticut 06712
393,Closed,8/28/2020,111163.0,NA,Under Construction,170274020,Doug Blackwood,BLACKWOD,Calcagni Real Estate,69 Beecher Walk 3 Orange Connecticut 06477
394,Closed,8/28/2020,75000.0,NA,Torn Down & Rebuilt,170325052,Kim M Oshana,OSHANAK,Coldwell Banker Realty,25 First Street  Madison Connecticut 06443
395,Closed,8/27/2020,573065.0,NA,Under Construction,170266093,Brette Stern,sternbr,Calcagni Real Estate,53 Mackenzie Willow Terrace  Cheshire Connecticut 06410
396,Closed,8/27/2020,414674.0,NA,Under Construction,170273086,Jason Saphire,SAPHIREJ,www.EntryOnly.com,220 Stanavage Road Lot 7 Colchester Connecticut 06415
397,Closed,8/27/2020,1493.0,NA,Completed/Never Occupied,170327482,Jarah Tuttle,3033,NewBridge Properties,719 Post Road 218 Darien Connecticut 06820
398,Closed,8/26/2020,399900.0,NA,Under Construction,170310342,Lance D Sigersmith,SIGERL,REMAX Valley Shore Genovali RE,3 Avenue B   Lyme Connecticut 06371
399,Closed,8/25/2020,1750.0,NA,Completed/Never Occupied,170258680,Laura Forcier,10040,Spinnaker Real Estate,11 Chestnut   Norwalk Connecticut 06854
400,Closed,8/25/2020,2100.0,NA,Completed/Never Occupied,170324423,Tim Debowes,18139,"Hathaway, Inc.",3 Elmcrest Terrace 302 Norwalk Connecticut 06850
401,Closed,8/24/2020,319900.0,NA,To Be Built,170084756,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,37 Village Crossing 37 East Lyme Connecticut 06357
402,Closed,8/24/2020,396750.0,NA,Under Construction,170285023,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 3 Bethel Connecticut 06801
403,Closed,8/24/2020,309000.0,NA,Under Construction,170304630,Laura Kucharczyk,LKUCHARC,SalCal Real Estate Connections,181 Stillwell Drive  Plainville Connecticut 06062
404,Closed,8/24/2020,445600.0,NA,Under Construction,170306420,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",19 Teakwood Dr   Southington Connecticut 06489
405,Closed,8/22/2020,20000.0,NA,Completed/Never Occupied,170300313,Catherine M Richardson,CRICH01,William Pitt Sotheby's Int'l,850 Pacific Street PH Stamford Connecticut 06902
406,Closed,8/21/2020,258315.0,NA,To Be Built,170089190,Cary A Marcoux,EMARCOUXC,RE/MAX Bell Park Realty,13 Henry Drive  Plainfield Connecticut 06354
407,Closed,8/21/2020,1349000.0,NA,To Be Built,170257280,Carole Cousins,K1077,Coldwell Banker Realty,99 Barry Avenue Lot 3 Ridgefield Connecticut 06877
408,Closed,8/21/2020,415082.0,NA,To Be Built,170283050,Nikki Trocchio,Trocchion,Calcagni Real Estate,13 Ridgewood Road  Middletown Connecticut 06457
409,Closed,8/21/2020,519900.0,NA,Under Construction,170295000,Chris Carey,CCARE1,Carey & Guarrera Real Estate,117 Wells View Road  Shelton Connecticut 06484
410,Closed,8/21/2020,345450.0,NA,Under Construction,170300425,Louis Roy Evjen,EVJENR,Evjen Agency,Lot 1 Camp Streets  Plainville Connecticut 06062
411,Closed,8/20/2020,1785.0,NA,Completed/Never Occupied,170313415,Melanie Healey,JHEALE1,NewBridge Properties,29 Westwood Drive 29 Stamford Connecticut 06902
412,Closed,8/19/2020,475713.0,NA,To Be Built,170201605,Andrea Bannerman,20635,Thomas Jacovino,10 West Cross Trail 125 Danbury Connecticut 06810
413,Closed,8/19/2020,430000.0,NA,Completed/Never Occupied,170273553,Walter Nichols,NICHOLWA,Property World,55 Beach Shore Drive  Milford Connecticut 06460
414,Closed,8/18/2020,407748.0,NA,To Be Built,170147313,Meredith Colasanto,COLASANM,Thomas Jacovino,2 ARROWWOOD Court 196 Middlebury Connecticut 06762
415,Closed,8/18/2020,426930.0,NA,Under Construction,170285880,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,6 ARROWWOOD Court 194 Middlebury Connecticut 06762
416,Closed,8/17/2020,290000.0,NA,Completed/Never Occupied,170297986,Mark H Mooney,MOONEYMH,"Mooney Real Estate, LLC",747 George Washington  B Burlington Connecticut 06013
417,Closed,8/17/2020,1493.0,NA,Completed/Never Occupied,170321412,Jarah Tuttle,3033,NewBridge Properties,719 post Road 101 Darien Connecticut 06820
418,Closed,8/17/2020,1493.0,NA,Completed/Never Occupied,170321413,Jarah Tuttle,3033,NewBridge Properties,719 post Road 219 Darien Connecticut 06820
419,Closed,8/14/2020,320609.0,NA,To Be Built,170154254,Kathy Palagonia,PALAGONK,Thomas Jacovino,47 Tamarack Court 298 Prospect Connecticut 06712
420,Closed,8/14/2020,316895.0,NA,To Be Built,170179035,Nancy Addessio,ADDESSNA,"Showcase Realty, Inc.",Lot 40 Heritage Hill   Wolcott Connecticut 06716
421,Closed,8/14/2020,678408.0,NA,Under Construction,170244436,Andrea Bannerman,20635,Thomas Jacovino,127 Winding Ridge Way 80 Danbury Connecticut 06810
422,Closed,8/14/2020,373997.0,NA,Under Construction,170261806,Meredith Colasanto,COLASANM,Thomas Jacovino,13 HIGHRIDGE Road 148 Middlebury Connecticut 06762
423,Closed,8/14/2020,50000.0,NA,To Be Built,170282146,Michael A Koproski,MKOP1,Fazzone & Harrison,23 Front of the Mountian Road  New Milford Connecticut 06755
424,Closed,8/14/2020,1700.0,NA,Completed/Never Occupied,170321993,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  14 Southington Connecticut 06479
425,Closed,8/13/2020,459995.0,NA,Completed/Never Occupied,170178268,Andrea Bannerman,20635,Thomas Jacovino,183 Brentwood Circle 5 Danbury Connecticut 06810
426,Closed,8/13/2020,422797.0,NA,To Be Built,170201610,Andrea Bannerman,20635,Thomas Jacovino,1 West Cross Trail 120 Danbury Connecticut 06810
427,Closed,8/12/2020,523900.0,NA,Under Construction,170152194,Chris Carey,CCARE1,Carey & Guarrera Real Estate,119 Wells View Road  Shelton Connecticut 06484
428,Closed,8/12/2020,1250000.0,NA,Completed/Never Occupied,170258075,Kim Harizman,18778,"Compass Connecticut, LLC",1 Daybreak Commons  Westport Connecticut 06880
429,Closed,8/12/2020,529948.0,NA,Under Construction,170262300,George J Santos,SANTOSG,William Raveis Real Estate,8 Wind Mill Lane  Canton Connecticut 06019
430,Closed,8/12/2020,384575.0,NA,To Be Built,170269253,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Roads 9 Southington Connecticut 06489
431,Closed,8/12/2020,452178.0,NA,Under Construction,170286503,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,11 HIGHRIDGE Road 147 Middlebury Connecticut 06762
432,Closed,8/11/2020,661180.0,NA,To Be Built,170162400,Suzanne B DeMarco,21546,Thomas Jacovino,51 Crossing Way 58 Bethel Connecticut 06801
433,Closed,8/11/2020,499900.0,NA,Under Construction,170286205,Barbara Sylvester,JSYL1,Carey & Guarrera Real Estate,17 perry hill estates  17 Shelton Connecticut 06484
434,Closed,8/10/2020,358887.0,NA,To Be Built,170165414,Meredith Colasanto,COLASANM,Thomas Jacovino,35 HIGHRIDGE Road 159 Middlebury Connecticut 06762
435,Closed,8/10/2020,671445.0,NA,To Be Built,170178068,Andrea Bannerman,20635,Thomas Jacovino,121 Winding Ridge Way 77 Danbury Connecticut 06810
436,Closed,8/7/2020,656563.0,NA,To Be Built,170145980,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,84 Long Meadow- Homesite 32 Drive  South Windsor Connecticut 06074
437,Closed,8/6/2020,410000.0,NA,Model,170106840,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,7 Dylan Drive (lot#6)   Suffield Connecticut 06078
438,Closed,8/6/2020,319900.0,NA,Model,170265743,Nicholle McKiernan,DIPINTON,REMAX Alliance,2132 Long Hill Road   Guilford Connecticut 06437
439,Closed,8/6/2020,329900.0,NA,To Be Built,170265777,Nicholle McKiernan,DIPINTON,REMAX Alliance,2124 Long Hill Road   Guilford Connecticut 06437
440,Closed,8/6/2020,494856.0,NA,To Be Built,170275762,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",29 Teakwood Dr   Southington Connecticut 06489
441,Closed,8/5/2020,353500.0,NA,Completed/Never Occupied,170258683,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,23 West River Road  East Windsor Connecticut 06088
442,Closed,8/5/2020,1700.0,NA,Completed/Never Occupied,170316486,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  13 Southington Connecticut 06479
443,Closed,8/5/2020,1750.0,NA,Completed/Never Occupied,170321501,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  19 Southington Connecticut 06479
444,Closed,8/4/2020,625096.0,NA,To Be Built,170243245,Suzanne B DeMarco,21546,Thomas Jacovino,38 Crossing Way 63 Bethel Connecticut 06801
445,Closed,8/3/2020,105000.0,NA,Model,170159337,Lauren Freedman,FREEDMANL,Coldwell Banker Realty,525 east main Street 28 Branford Connecticut 06405
446,Closed,8/3/2020,524000.0,NA,Completed/Never Occupied,170292134,Jeffrey A Russo,RUSSOJ,"RANDALL, REALTORS-Christie's",9 Kathryn Ct.   Waterford Connecticut 06385
447,Closed,8/2/2020,1765.0,NA,Completed/Never Occupied,170314578,Melanie Healey,JHEALE1,NewBridge Properties,1 Birch Drive 36 Stamford Connecticut 06902
448,Closed,8/1/2020,4500.0,NA,Completed/Never Occupied,170277785,Mar Jennings,20030,Higgins Group Bedford Square,201 Main Street 203 Westport Connecticut 06880
449,Closed,8/1/2020,4800.0,NA,Completed/Never Occupied,170302167,Mar Jennings,20030,Higgins Group Bedford Square,201 Main Street 304 Westport Connecticut 06880
450,Closed,8/1/2020,1650.0,NA,Completed/Never Occupied,170321495,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  17 Southington Connecticut 06479
451,Closed,8/1/2020,1700.0,NA,Completed/Never Occupied,170321498,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  18 Southington Connecticut 06479
452,Closed,7/31/2020,365000.0,NA,Under Construction,170056344,Bridie Bradbury,bradbubr,Calcagni Real Estate,129 Daniel Drive  North Haven Connecticut 06473
453,Closed,7/31/2020,748061.0,NA,Under Construction,170236097,Therese M Nuzzolo,NUZZOLOT,Berkshire Hathaway NE Prop.,16 Willow Pond Court Lot 3 Glastonbury Connecticut 06033
454,Closed,7/31/2020,459837.0,NA,To Be Built,170237749,Andrea Bannerman,20635,Thomas Jacovino,9 West Cross Trail 116 Danbury Connecticut 06810
455,Closed,7/31/2020,495045.0,NA,To Be Built,170263877,Amy Romano,ROMANOA,Preston Gray Real Estate,Lot#3 Meadow Street  Shelton Connecticut 06484
456,Closed,7/31/2020,515090.0,NA,Under Construction,170267576,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",47 Teakwood Dr   Southington Connecticut 06489
457,Closed,7/31/2020,239900.0,NA,Under Construction,170271988,Dawn Cabral,cabralda,"West View Properties, LLC",2 Bradley Way  Thomaston Connecticut 06787
458,Closed,7/31/2020,299900.0,NA,To Be Built,170276139,Mandy Gruslin,GRUSLINA,"Kazantzis Real Estate, LLC",48 Colburn Road  Canterbury Connecticut 06331
459,Closed,7/31/2020,432295.0,NA,To Be Built,170277570,Cheryl Mallick,A2020,Carey & Guarrera Real Estate,Lot 75 Maple Lane  Shelton Connecticut 06484
460,Closed,7/31/2020,347000.0,NA,Completed/Never Occupied,170294701,Alfred D Serrao,SERRAOA,Pulte Realty of Connecticut In,1071 Augusta Drive 5219 Oxford Connecticut 06478
461,Closed,7/31/2020,498500.0,NA,To Be Built,170298614,Georgia E LaBonne,ELABONNEG,William Pitt Sotheby's Int'l,Lot #2 Cooktown Road  Preston Connecticut 06365
462,Closed,7/31/2020,312025.0,NA,Under Construction,170304588,Kenneth Shove,SHOVEKEN,Remax Rise,20 Pondview Circle at Pond Spring Village 81 Beacon Falls Connecticut 06403
