Status,Close Date,Close Price,Property_ID,New Construction Type,MLS Number,List Agent Full Name,List Agent MLSID,List Office Name,comp_addr
Closed,9/11/2020,431730,,To Be Built,170277328,Anita Pavone,A2014,Real Estate Two,Lot#4 Cold Spring Drive  Oxford Connecticut 06478
Closed,9/11/2020,380000,,To Be Built,170279911,Joe Chemero,JCH01,Coldwell Banker Realty,245 Chestnut land Road  New Milford Connecticut 06776
Closed,9/11/2020,410000,,Under Construction,170287799,Lori A Vogel,VOGELL,William Raveis Real Estate,5 Park Road Extension   Haddam Connecticut 06438
Closed,9/11/2020,2100000,,Completed/Never Occupied,170308430,Anthony Longo II ,22074,William Raveis Real Estate,73 Orchard Place B Greenwich Connecticut 06830
Closed,9/11/2020,419900,,Completed/Never Occupied,170315308,Walter Nichols,NICHOLWA,Property World,59 Beach Shore Drive  Milford Connecticut 06460
Closed,9/10/2020,632385,,Under Construction,170286515,Wendy L. O'Donnell,ODONNELW,EG Group Realty,3 Park Avenue  Stonington Connecticut 06355
Closed,9/10/2020,489000,,Under Construction,170292139,Daniel Martin,6810,Higgins Group Real Estate,120 Buddington Road  Shelton Connecticut 06484
Closed,9/10/2020,365257,,To Be Built,170295381,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  14 Southington Connecticut 06489
Closed,9/10/2020,1750,,Completed/Never Occupied,170332245,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  46 Southington Connecticut 06479
Closed,9/9/2020,250000,,Under Construction,170272013,Dawn Cabral,cabralda,"West View Properties, LLC",4 Bradley Way  Thomaston Connecticut 06787
Closed,9/9/2020,3200,,Completed/Never Occupied,170284501,Stephen Guarrera,7830,Carey & Guarrera Real Estate,146 Wells View Road  Shelton Connecticut 06484
Closed,9/9/2020,789900,,Under Construction,170310600,Donna McNamara,MCNAMARAD,RMS Real Estate Group,159 Colonial Road 40 Stamford Connecticut 06906
Closed,9/9/2020,347900,,Completed/Never Occupied,170316355,Art Kostapapas,KOSTAPAA,"Weichert,REALTORS-Four Corners",97 Lake Woods Lane  Eastford Connecticut 06242
Closed,9/8/2020,1495000,,Under Construction,170241163,Carole Cousins,K1077,Coldwell Banker Realty,99 Barry Avenue Lot 4 Ridgefield Connecticut 06877
Closed,9/7/2020,1350,,Completed/Never Occupied,170292794,Mark J Glassman,GLASSMMA,Property World,504 Boston Post Road 202 Orange Connecticut 06477
Closed,9/4/2020,294900,,To Be Built,170084796,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,40 Village Crossing 40 East Lyme Connecticut 06357
Closed,9/4/2020,541000,,Completed/Never Occupied,170272568,Susan Bento,14101,CT Real Estate Solutions,264 Marlborough Terrace  Fairfield Connecticut 06825
Closed,9/4/2020,364900,,Under Construction,170284874,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 1 Bethel Connecticut 06801
Closed,9/3/2020,430545,,To Be Built,170154235,Kathy Palagonia,PALAGONK,Thomas Jacovino,24 Tamarack Court Court 274 Prospect Connecticut 06712
Closed,9/3/2020,379900,,Completed/Never Occupied,170280684,Alan D Williams,WILLIAMA,Williams Realty Services,19 North Court  Colchester Connecticut 06415
Closed,9/3/2020,425000,,Completed/Never Occupied,170312319,Walter Nichols,NICHOLWA,Property World,61 Beach Shore Drive  Milford Connecticut 06460
Closed,9/2/2020,309900,,To Be Built,170084820,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,42 Village Crossing 42 East Lyme Connecticut 06357
Closed,9/2/2020,425000,,To Be Built,170244959,Renee Havriliak,HAVRILIAKR,Evjen Agency,360 Patton Drive   Cheshire Connecticut 06410
Closed,9/2/2020,373900,,To Be Built,170249145,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Roads 12 Southington Connecticut 06489
Closed,9/2/2020,569995,,Under Construction,170261333,Andrea Bannerman,20635,Thomas Jacovino,82 Winding Ridge Way 96 Danbury Connecticut 06810
Closed,9/2/2020,359900,,Under Construction,170285131,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 10 Bethel Connecticut 06801
Closed,9/2/2020,1925,,Completed/Never Occupied,170302636,Tim Debowes,18139,"Hathaway, Inc.",3 Elmcrest Terrace M1 Norwalk Connecticut 06850
Closed,9/2/2020,1230,,Completed/Never Occupied,170325651,Sara J Ritchie,MOONEYS,Keller Williams Realty,201 Ann Street 306 Hartford Connecticut 06103
Closed,9/1/2020,479900,,To Be Built,170254229,Stacy M Blake,BLAKEST,Stacy Blake Realty LLC,25 Hunter Mountain Roads  Oxford Connecticut 06478
Closed,9/1/2020,542000,,Completed/Never Occupied,170262821,Walter Nichols,NICHOLWA,Property World,48 Beach Shore Dr.   Milford Connecticut 06460
Closed,8/31/2020,412000,,Under Construction,170048737,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,43 Shepard Way (#33)  33 South Windsor Connecticut 06074
Closed,8/31/2020,241100,,Under Construction,170178059,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,245 Pepin Place  110 South Windsor Connecticut 06074
Closed,8/31/2020,618409,,To Be Built,170201168,Suzanne B DeMarco,21546,Thomas Jacovino,31 Crossing Way 48 Bethel Connecticut 06801
Closed,8/31/2020,279900,,Under Construction,170245448,Dawn Cabral,cabralda,"West View Properties, LLC",37 Stevens Boulevard  Thomaston Connecticut 06787
Closed,8/31/2020,479331,,Under Construction,170272050,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,44 Carson Way   Simsbury Connecticut 06070
Closed,8/31/2020,415000,,Completed/Never Occupied,170289029,Craig Milton,MILTONC,REMAX Valley Shore Genovali RE,17 Economy Dr   Westbrook Connecticut 06498
Closed,8/31/2020,450000,,Completed/Never Occupied,170303729,Sandra Fehrs,FEHRSSAN,Calcagni Real Estate,88 Hillcrest Village; Lot 88   Southington Connecticut 06489
Closed,8/31/2020,299900,,Completed/Never Occupied,170311277,Mark H Mooney,MOONEYMH,"Mooney Real Estate, LLC",751 George Washington Turnpike  B Burlington Connecticut 06013
Closed,8/31/2020,2950,,Completed/Never Occupied,170327580,Stephen Zemo,k1134,Copps Hill Realty,62 Prospect Ridge  C4 Ridgefield Connecticut 06877
Closed,8/28/2020,342868,,To Be Built,170154236,Kathy Palagonia,PALAGONK,Thomas Jacovino,22 Tamarack Court 273 Prospect Connecticut 06712
Closed,8/28/2020,111163,,Under Construction,170274020,Doug Blackwood,BLACKWOD,Calcagni Real Estate,69 Beecher Walk 3 Orange Connecticut 06477
Closed,8/28/2020,75000,,Torn Down & Rebuilt,170325052,Kim M Oshana,OSHANAK,Coldwell Banker Realty,25 First Street  Madison Connecticut 06443
Closed,8/27/2020,573065,,Under Construction,170266093,Brette Stern,sternbr,Calcagni Real Estate,53 Mackenzie Willow Terrace  Cheshire Connecticut 06410
Closed,8/27/2020,414674,,Under Construction,170273086,Jason Saphire,SAPHIREJ,www.EntryOnly.com,220 Stanavage Road Lot 7 Colchester Connecticut 06415
Closed,8/27/2020,1493,,Completed/Never Occupied,170327482,Jarah Tuttle,3033,NewBridge Properties,719 Post Road 218 Darien Connecticut 06820
Closed,8/26/2020,399900,,Under Construction,170310342,Lance D Sigersmith,SIGERL,REMAX Valley Shore Genovali RE,3 Avenue B   Lyme Connecticut 06371
Closed,8/25/2020,1750,,Completed/Never Occupied,170258680,Laura Forcier,10040,Spinnaker Real Estate,11 Chestnut   Norwalk Connecticut 06854
Closed,8/25/2020,2100,,Completed/Never Occupied,170324423,Tim Debowes,18139,"Hathaway, Inc.",3 Elmcrest Terrace 302 Norwalk Connecticut 06850
Closed,8/24/2020,319900,,To Be Built,170084756,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,37 Village Crossing 37 East Lyme Connecticut 06357
Closed,8/24/2020,396750,,Under Construction,170285023,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 3 Bethel Connecticut 06801
Closed,8/24/2020,309000,,Under Construction,170304630,Laura Kucharczyk,LKUCHARC,SalCal Real Estate Connections,181 Stillwell Drive  Plainville Connecticut 06062
Closed,8/24/2020,445600,,Under Construction,170306420,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",19 Teakwood Dr   Southington Connecticut 06489
Closed,8/22/2020,20000,,Completed/Never Occupied,170300313,Catherine M Richardson,CRICH01,William Pitt Sotheby's Int'l,850 Pacific Street PH Stamford Connecticut 06902
Closed,8/21/2020,258315,,To Be Built,170089190,Cary A Marcoux,EMARCOUXC,RE/MAX Bell Park Realty,13 Henry Drive  Plainfield Connecticut 06354
Closed,8/21/2020,1349000,,To Be Built,170257280,Carole Cousins,K1077,Coldwell Banker Realty,99 Barry Avenue Lot 3 Ridgefield Connecticut 06877
Closed,8/21/2020,415082,,To Be Built,170283050,Nikki Trocchio,Trocchion,Calcagni Real Estate,13 Ridgewood Road  Middletown Connecticut 06457
Closed,8/21/2020,519900,,Under Construction,170295000,Chris Carey,CCARE1,Carey & Guarrera Real Estate,117 Wells View Road  Shelton Connecticut 06484
Closed,8/21/2020,345450,,Under Construction,170300425,Louis Roy Evjen,EVJENR,Evjen Agency,Lot 1 Camp Streets  Plainville Connecticut 06062
Closed,8/20/2020,1785,,Completed/Never Occupied,170313415,Melanie Healey,JHEALE1,NewBridge Properties,29 Westwood Drive 29 Stamford Connecticut 06902
Closed,8/19/2020,475713,,To Be Built,170201605,Andrea Bannerman,20635,Thomas Jacovino,10 West Cross Trail 125 Danbury Connecticut 06810
Closed,8/19/2020,430000,,Completed/Never Occupied,170273553,Walter Nichols,NICHOLWA,Property World,55 Beach Shore Drive  Milford Connecticut 06460
Closed,8/18/2020,407748,,To Be Built,170147313,Meredith Colasanto,COLASANM,Thomas Jacovino,2 ARROWWOOD Court 196 Middlebury Connecticut 06762
Closed,8/18/2020,426930,,Under Construction,170285880,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,6 ARROWWOOD Court 194 Middlebury Connecticut 06762
Closed,8/17/2020,290000,,Completed/Never Occupied,170297986,Mark H Mooney,MOONEYMH,"Mooney Real Estate, LLC",747 George Washington  B Burlington Connecticut 06013
Closed,8/17/2020,1493,,Completed/Never Occupied,170321412,Jarah Tuttle,3033,NewBridge Properties,719 post Road 101 Darien Connecticut 06820
Closed,8/17/2020,1493,,Completed/Never Occupied,170321413,Jarah Tuttle,3033,NewBridge Properties,719 post Road 219 Darien Connecticut 06820
Closed,8/14/2020,320609,,To Be Built,170154254,Kathy Palagonia,PALAGONK,Thomas Jacovino,47 Tamarack Court 298 Prospect Connecticut 06712
Closed,8/14/2020,316895,,To Be Built,170179035,Nancy Addessio,ADDESSNA,"Showcase Realty, Inc.",Lot 40 Heritage Hill   Wolcott Connecticut 06716
Closed,8/14/2020,678408,,Under Construction,170244436,Andrea Bannerman,20635,Thomas Jacovino,127 Winding Ridge Way 80 Danbury Connecticut 06810
Closed,8/14/2020,373997,,Under Construction,170261806,Meredith Colasanto,COLASANM,Thomas Jacovino,13 HIGHRIDGE Road 148 Middlebury Connecticut 06762
Closed,8/14/2020,50000,,To Be Built,170282146,Michael A Koproski,MKOP1,Fazzone & Harrison,23 Front of the Mountian Road  New Milford Connecticut 06755
Closed,8/14/2020,1700,,Completed/Never Occupied,170321993,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  14 Southington Connecticut 06479
Closed,8/13/2020,459995,,Completed/Never Occupied,170178268,Andrea Bannerman,20635,Thomas Jacovino,183 Brentwood Circle 5 Danbury Connecticut 06810
Closed,8/13/2020,422797,,To Be Built,170201610,Andrea Bannerman,20635,Thomas Jacovino,1 West Cross Trail 120 Danbury Connecticut 06810
Closed,8/12/2020,523900,,Under Construction,170152194,Chris Carey,CCARE1,Carey & Guarrera Real Estate,119 Wells View Road  Shelton Connecticut 06484
Closed,8/12/2020,1250000,,Completed/Never Occupied,170258075,Kim Harizman,18778,"Compass Connecticut, LLC",1 Daybreak Commons  Westport Connecticut 06880
Closed,8/12/2020,529948,,Under Construction,170262300,George J Santos,SANTOSG,William Raveis Real Estate,8 Wind Mill Lane  Canton Connecticut 06019
Closed,8/12/2020,384575,,To Be Built,170269253,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Roads 9 Southington Connecticut 06489
Closed,8/12/2020,452178,,Under Construction,170286503,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,11 HIGHRIDGE Road 147 Middlebury Connecticut 06762
Closed,8/11/2020,661180,,To Be Built,170162400,Suzanne B DeMarco,21546,Thomas Jacovino,51 Crossing Way 58 Bethel Connecticut 06801
Closed,8/11/2020,499900,,Under Construction,170286205,Barbara Sylvester,JSYL1,Carey & Guarrera Real Estate,17 perry hill estates  17 Shelton Connecticut 06484
Closed,8/10/2020,358887,,To Be Built,170165414,Meredith Colasanto,COLASANM,Thomas Jacovino,35 HIGHRIDGE Road 159 Middlebury Connecticut 06762
Closed,8/10/2020,671445,,To Be Built,170178068,Andrea Bannerman,20635,Thomas Jacovino,121 Winding Ridge Way 77 Danbury Connecticut 06810
Closed,8/7/2020,656563,,To Be Built,170145980,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,84 Long Meadow- Homesite 32 Drive  South Windsor Connecticut 06074
Closed,8/6/2020,410000,,Model,170106840,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,7 Dylan Drive (lot#6)   Suffield Connecticut 06078
Closed,8/6/2020,319900,,Model,170265743,Nicholle McKiernan,DIPINTON,REMAX Alliance,2132 Long Hill Road   Guilford Connecticut 06437
Closed,8/6/2020,329900,,To Be Built,170265777,Nicholle McKiernan,DIPINTON,REMAX Alliance,2124 Long Hill Road   Guilford Connecticut 06437
Closed,8/6/2020,494856,,To Be Built,170275762,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",29 Teakwood Dr   Southington Connecticut 06489
Closed,8/5/2020,353500,,Completed/Never Occupied,170258683,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,23 West River Road  East Windsor Connecticut 06088
Closed,8/5/2020,1700,,Completed/Never Occupied,170316486,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  13 Southington Connecticut 06479
Closed,8/5/2020,1750,,Completed/Never Occupied,170321501,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  19 Southington Connecticut 06479
Closed,8/4/2020,625096,,To Be Built,170243245,Suzanne B DeMarco,21546,Thomas Jacovino,38 Crossing Way 63 Bethel Connecticut 06801
Closed,8/3/2020,105000,,Model,170159337,Lauren Freedman,FREEDMANL,Coldwell Banker Realty,525 east main Street 28 Branford Connecticut 06405
Closed,8/3/2020,524000,,Completed/Never Occupied,170292134,Jeffrey A Russo,RUSSOJ,"RANDALL, REALTORS-Christie's",9 Kathryn Ct.   Waterford Connecticut 06385
Closed,8/2/2020,1765,,Completed/Never Occupied,170314578,Melanie Healey,JHEALE1,NewBridge Properties,1 Birch Drive 36 Stamford Connecticut 06902
Closed,8/1/2020,4500,,Completed/Never Occupied,170277785,Mar Jennings,20030,Higgins Group Bedford Square,201 Main Street 203 Westport Connecticut 06880
Closed,8/1/2020,4800,,Completed/Never Occupied,170302167,Mar Jennings,20030,Higgins Group Bedford Square,201 Main Street 304 Westport Connecticut 06880
Closed,8/1/2020,1650,,Completed/Never Occupied,170321495,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  17 Southington Connecticut 06479
Closed,8/1/2020,1700,,Completed/Never Occupied,170321498,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",27 Tridell Dr  18 Southington Connecticut 06479
Closed,7/31/2020,365000,,Under Construction,170056344,Bridie Bradbury,bradbubr,Calcagni Real Estate,129 Daniel Drive  North Haven Connecticut 06473
Closed,7/31/2020,748061,,Under Construction,170236097,Therese M Nuzzolo,NUZZOLOT,Berkshire Hathaway NE Prop.,16 Willow Pond Court Lot 3 Glastonbury Connecticut 06033
Closed,7/31/2020,459837,,To Be Built,170237749,Andrea Bannerman,20635,Thomas Jacovino,9 West Cross Trail 116 Danbury Connecticut 06810
Closed,7/31/2020,495045,,To Be Built,170263877,Amy Romano,ROMANOA,Preston Gray Real Estate,Lot#3 Meadow Street  Shelton Connecticut 06484
Closed,7/31/2020,515090,,Under Construction,170267576,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",47 Teakwood Dr   Southington Connecticut 06489
Closed,7/31/2020,239900,,Under Construction,170271988,Dawn Cabral,cabralda,"West View Properties, LLC",2 Bradley Way  Thomaston Connecticut 06787
Closed,7/31/2020,299900,,To Be Built,170276139,Mandy Gruslin,GRUSLINA,"Kazantzis Real Estate, LLC",48 Colburn Road  Canterbury Connecticut 06331
Closed,7/31/2020,432295,,To Be Built,170277570,Cheryl Mallick,A2020,Carey & Guarrera Real Estate,Lot 75 Maple Lane  Shelton Connecticut 06484
Closed,7/31/2020,347000,,Completed/Never Occupied,170294701,Alfred D Serrao,SERRAOA,Pulte Realty of Connecticut In,1071 Augusta Drive 5219 Oxford Connecticut 06478
Closed,7/31/2020,498500,,To Be Built,170298614,Georgia E LaBonne,ELABONNEG,William Pitt Sotheby's Int'l,Lot #2 Cooktown Road  Preston Connecticut 06365
Closed,7/31/2020,312025,,Under Construction,170304588,Kenneth Shove,SHOVEKEN,Remax Rise,20 Pondview Circle at Pond Spring Village 81 Beacon Falls Connecticut 06403
Closed,7/31/2020,299900,,Completed/Never Occupied,170304931,Mark H Mooney,MOONEYMH,"Mooney Real Estate, LLC",751 George Washington Turnpike  A Burlington Connecticut 06013
Closed,7/30/2020,699867,,To Be Built,170093966,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,114 Long Meadow-homesite 26 Drive  South Windsor Connecticut 06074
Closed,7/30/2020,370000,,To Be Built,170144721,Harry Finer,FINERH,William Raveis Real Estate,Lot 6 Jack English Drive  Middletown Connecticut 06457
Closed,7/30/2020,241750,,Under Construction,170177721,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,77 Lexie Lane  113 South Windsor Connecticut 06074
Closed,7/30/2020,412790,,To Be Built,170207065,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,8 Arrowwood Court 193 Middlebury Connecticut 06762
Closed,7/30/2020,494900,,Completed/Never Occupied,170290544,John R Lepore,LEPOREJ,Berkshire Hathaway NE Prop.,5 Anthonys Way  Bloomfield Connecticut 06002
Closed,7/30/2020,3190,,Torn Down & Rebuilt,170304144,Joyce Gilbert,JGILB5,Coldwell Banker Realty,94 East Avenue 4A Norwalk Connecticut 06851
Closed,7/30/2020,2425,,Completed/Never Occupied,170314687,Melanie Healey,JHEALE1,NewBridge Properties,5 Stoneridge Circle 5 Stamford Connecticut 06902
Closed,7/29/2020,874834,,To Be Built,170060194,Nicole M Defrancesco,defrancn,Thomas Jacovino,111 Longmeadow- homesite21 Drive  South Windsor Connecticut 06042
Closed,7/29/2020,442042,,To Be Built,170191179,Andrea Bannerman,20635,Thomas Jacovino,5 West Cross Trail 118 Danbury Connecticut 06810
Closed,7/29/2020,291500,,To Be Built,170201132,Kenneth Shove,SHOVEKEN,Coldwell Banker Realty,22 Pondview Circle at Pond Spring Village 81 Beacon Falls Connecticut 06403
Closed,7/29/2020,4500,,Completed/Never Occupied,170277789,Mar Jennings,20030,Higgins Group Bedford Square,201 Main Street 301 Westport Connecticut 06880
Closed,7/29/2020,2225,,Completed/Never Occupied,170290580,Tim Debowes,18139,"Hathaway, Inc.",467 Glenbrook Road 301 Stamford Connecticut 06906
Closed,7/28/2020,604041,,To Be Built,170162394,Suzanne B DeMarco,21546,Thomas Jacovino,49 Crossing Way 57 Bethel Connecticut 06801
Closed,7/28/2020,285000,,To Be Built,170179001,Nancy Addessio,ADDESSNA,"Showcase Realty, Inc.",Lot 27 Heritage Hill   Wolcott Connecticut 06716
Closed,7/28/2020,279900,,Completed/Never Occupied,170284321,Dawn Cabral,cabralda,"West View Properties, LLC",23 Stevens Boulevard  Thomaston Connecticut 06787
Closed,7/27/2020,205000,,Under Construction,170248556,Michelle G Mateo,MATEMICH,"Kaerus Property Group, LLC",30 Riverview Street  New Haven Connecticut 06513
Closed,7/27/2020,365000,,Completed/Never Occupied,170258676,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,8 West River Road  East Windsor Connecticut 06088
Closed,7/27/2020,396340,,To Be Built,170258810,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Roads 13 Southington Connecticut 06489
Closed,7/27/2020,479403,,Under Construction,170268035,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",37 Teakwood Dr   Southington Connecticut 06489
Closed,7/27/2020,265000,,Completed/Never Occupied,170271505,Lisa Gillette,GILLETTL,Keller Williams Realty,6 Gillette Way   Bristol Connecticut 06010
Closed,7/24/2020,446233,,To Be Built,170104092,Kathy Palagonia,PALAGONK,Thomas Jacovino,7 Cherry Circle 286 Prospect Connecticut 06712
Closed,7/24/2020,789900,,Under Construction,170148988,Donna McNamara,MCNAMARAD,RMS Real Estate Group,159-7 Colonial Road 4 Stamford Connecticut 06906
Closed,7/24/2020,638631,,Under Construction,170178065,Andrea Bannerman,20635,Thomas Jacovino,88 Winding Ridge Way 93 Danbury Connecticut 06810
Closed,7/24/2020,457595,,To Be Built,170201602,Andrea Bannerman,20635,Thomas Jacovino,161 Brentwood Circle 16 Danbury Connecticut 06810
Closed,7/24/2020,500884,,To Be Built,170235722,Wendy L. O'Donnell,ODONNELW,EG Group Realty,26 Park Avenue  Stonington Connecticut 06355
Closed,7/24/2020,3575000,,Under Construction,170250338,Becky Munro,7986,Halstead Real Estate,47 Five Mile River Road  Darien Connecticut 06820
Closed,7/24/2020,499900,,To Be Built,170262035,Stephen Guarrera,7830,Carey & Guarrera Real Estate,114 Wells View Road  Shelton Connecticut 06484
Closed,7/24/2020,689000,,Under Construction,170318560,Jennifer H DeLaurentis,20543,Higgins Group Real Estate,208 Country Road  Fairfield Connecticut 06824
Closed,7/23/2020,445900,,Completed/Never Occupied,170220653,Kris Barnett,BARNETTK,Berkshire Hathaway NE Prop.,37 Cambridge Court  Simsbury Connecticut 06070
Closed,7/23/2020,6375,,Completed/Never Occupied,170260214,Matt Murray,4451,Higgins Group Bedford Square,5 Church Lane 314 Westport Connecticut 06880
Closed,7/22/2020,364309,,To Be Built,G10131689,Meredith Colasanto,COLASANM,Thomas Jacovino,4 ARROWWOOD Court 195 Middlebury Connecticut 06762
Closed,7/22/2020,582995,,Under Construction,170168877,Andrea Bannerman,20635,Thomas Jacovino,66 Winding Ridge Way 104 Danbury Connecticut 06810
Closed,7/22/2020,269900,,Under Construction,170247305,Doug Blackwood,BLACKWOD,Calcagni Real Estate,65 Beecher Walk 5 Orange Connecticut 06477
Closed,7/22/2020,320000,,Under Construction,170252284,Dean P Markham,MARKHAMD,Berkshire Hathaway NE Prop.,16 Cedar Ridge Road  East Hampton Connecticut 06424
Closed,7/22/2020,2100,,Completed/Never Occupied,170303441,Tim Debowes,18139,"Hathaway, Inc.",3 Elmcrest Terrace 204 Norwalk Connecticut 06850
Closed,7/21/2020,414578,,To Be Built,170235359,Wendy L. O'Donnell,ODONNELW,EG Group Realty,27 Park Avenue  Stonington Connecticut 06355
Closed,7/21/2020,450453,,To Be Built,170237751,Andrea Bannerman,20635,Thomas Jacovino,26 West Cross Trail 123 Danbury Connecticut 06810
Closed,7/20/2020,505000,,To Be Built,170181227,John Huhn,HUHNJO,Coldwell Banker Realty,7 SeaView Terrace  Waterford Connecticut 06385
Closed,7/20/2020,293000,,Completed/Never Occupied,170263244,James Celio,CELIOJA,Century 21 AllPoints Realty,31 Barber's Way  Hebron Connecticut 06248
Closed,7/20/2020,454000,,Completed/Never Occupied,170286126,Barbara Sylvester,JSYL1,Carey & Guarrera Real Estate,2 PERRY HILL ESTATES Road 2 Shelton Connecticut 06484
Closed,7/20/2020,1900,,Completed/Never Occupied,170292965,Gordon A Fish,fishg,D.W. Fish Real Estate,75 Fairfield Street  Manchester Connecticut 06040
Closed,7/17/2020,446125,,To Be Built,170181224,John Huhn,HUHNJO,Coldwell Banker Realty,6 SeaView Terrace  Waterford Connecticut 06385
Closed,7/17/2020,295000,,Under Construction,170233357,Mark H Mooney,MOONEYMH,"Mooney Real Estate, LLC",747 George Washington  A Burlington Connecticut 06013
Closed,7/17/2020,543131.14,,To Be Built,170240434,Gemma Carrier,SANDERSG,Berkshire Hathaway NE Prop.,17 Partridge Court   East Lyme Connecticut 06333
Closed,7/17/2020,557750,,To Be Built,170241619,Renee Meuse,MEUSER,Century 21 AllPoints Realty,27 Sweetheart Mountain (Lot 11)   Canton Connecticut 06019
Closed,7/17/2020,426381,,To Be Built,170261972,Sandra Fehrs,FEHRSSAN,Calcagni Real Estate,"47 Hillcrest Village, Lot 47   Southington Connecticut 06489"
Closed,7/16/2020,436249,,Under Construction,170285851,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,9 HIGHRIDGE Road 146 Middlebury Connecticut 06762
Closed,7/16/2020,825,,Completed/Never Occupied,170310567,ANNESA BORLA,BORLAAN,Borla & Associates LLC Real Estate,464 Prospect Street  Torrington Connecticut 06790
Closed,7/15/2020,434122,,To Be Built,170104074,Kathy Palagonia,PALAGONK,Thomas Jacovino,9 Cherry Circle 285 Prospect Connecticut 06712
Closed,7/15/2020,2445,,Completed/Never Occupied,170297236,Melanie Healey,JHEALE1,NewBridge Properties,40 Merrell Avenue 40 Stamford Connecticut 06902
Closed,7/14/2020,340000,,Model,170238070,Nikki Trocchio,trocchion,Calcagni Real Estate,lot 6 Ridgewood Road  Middletown Connecticut 06457
Closed,7/14/2020,3000,,Completed/Never Occupied,170294564,Stephen Glennon,GLENNONS,William Pitt Sotheby's Int'l,106 Buffalo Bay Road  Madison Connecticut 06443
Closed,7/13/2020,380358,,To Be Built,170154260,Kathy Palagonia,PALAGONK,Thomas Jacovino,45 Tamarack Court 299 Prospect Connecticut 06712
Closed,7/13/2020,368730,,To Be Built,170240664,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Roads 1 Southington Connecticut 06489
Closed,7/10/2020,402886,,To Be Built,170180538,Lori Gabriel,GABRIELL,Coldwell Banker Realty,4 Jessie Lane Lot 16 East Windsor Connecticut 06016
Closed,7/10/2020,486103,,To Be Built,170207071,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,140 Ridgewood Drive 199 Middlebury Connecticut 06762
Closed,7/9/2020,362207,,To Be Built,170154212,Kathy Palagonia,PALAGONK,Thomas Jacovino,52 Tamarack Court 291 Prospect Connecticut 06712
Closed,7/9/2020,2100,,Completed/Never Occupied,170295193,Tim Debowes,18139,"Hathaway, Inc.",3 Elmcrest Terrace 402 Norwalk Connecticut 06850
Closed,7/8/2020,3725,,Completed/Never Occupied,170299782,Aida M Pedroza,22103,William Pitt Sotheby's Int'l,850 Pacific Street 124 Stamford Connecticut 06902
Closed,7/8/2020,4275,,Completed/Never Occupied,170299823,Aida M Pedroza,22103,William Pitt Sotheby's Int'l,850 Pacific Street 122 Stamford Connecticut 06902
Closed,7/7/2020,578440,,To Be Built,170178070,Andrea Bannerman,20635,Thomas Jacovino,86 Winding Ridge Way 94 Danbury Connecticut 06810
Closed,7/6/2020,742106,,To Be Built,170103631,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,120 Long Meadow homesite 25 Drive  South Windsor Connecticut 06074
Closed,7/6/2020,388000,,To Be Built,170278796,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  15 Southington Connecticut 06489
Closed,7/3/2020,1200,,Completed/Never Occupied,170303131,Randall S Russ,ERUSSR,Russ Real Estate,16 Downer Street 1 Stonington Connecticut 06379
Closed,7/2/2020,448500,,To Be Built,170137451,James Porto,PORTOJA,Coldwell Banker Realty,16 Riverbend Drive  Oxford Connecticut 06478
